,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMZN,"Amazon.com, Inc.","2,133.78B",-1.04%,33416234,650.31B
1,TSLA,"Tesla, Inc.","1,093.00B",-0.50%,84722723,95.72B
2,HD,"The Home Depot, Inc.",360.51B,-0.93%,3123518,162.95B
3,BABA,Alibaba Group Holding Limited,274.11B,-0.62%,7158879,137.30B
4,TM,Toyota Motor Corporation,239.19B,-0.28%,485183,320.78B
5,MCD,McDonald's Corporation,224.93B,0.08%,2701496,25.71B
6,BKNG,Booking Holdings Inc.,173.53B,-0.17%,152272,24.09B
7,PDD,PDD Holdings Inc.,169.28B,-0.47%,7592424,53.96B
8,TJX,"The TJX Companies, Inc.",140.34B,-2.99%,8785558,56.99B
9,MELI,"MercadoLibre, Inc.",127.14B,-3.77%,498684,22.38B
10,LOW,"Lowe's Companies, Inc.",123.73B,-1.20%,2962584,83.24B
11,SE,Sea Limited,97.13B,2.10%,3656494,17.93B
12,SBUX,Starbucks Corporation,95.91B,0.51%,7088952,36.35B
13,NKE,"NIKE, Inc.",88.59B,-2.12%,14282188,47.82B
14,RACE,Ferrari N.V.,86.06B,-3.07%,487575,7.44B
15,ORLY,"O'Reilly Automotive, Inc.",78.32B,0.70%,284064,16.87B
16,ABNB,"Airbnb, Inc.",78.21B,-0.73%,4373912,11.23B
17,MAR,"Marriott International, Inc.",70.58B,-1.15%,1267604,6.68B
18,CMG,"Chipotle Mexican Grill, Inc.",68.22B,-0.30%,9334801,11.49B
19,CVNA,Carvana Co.,65.60B,0.62%,2549022,14.84B
20,RCL,Royal Caribbean Cruises Ltd.,65.21B,0.72%,1200523,16.76B
21,AZO,"AutoZone, Inc.",64.01B,-0.85%,151268,18.67B
22,HLT,Hilton Worldwide Holdings Inc.,58.18B,-0.76%,1057856,4.76B
23,CPNG,"Coupang, Inc.",49.84B,0.62%,8713090,31.06B
24,JD,"JD.com, Inc.",48.07B,-1.01%,6530899,165.35B
25,GM,General Motors Company,46.81B,-1.20%,5612013,188.45B
26,ROST,"Ross Stores, Inc.",45.14B,-9.85%,18534865,21.26B
27,FLUT,Flutter Entertainment plc,42.58B,1.18%,1188062,14.32B
28,HMC,"Honda Motor Co., Ltd.",41.63B,-0.07%,478229,144.84B
29,F,Ford Motor Company,41.20B,-0.77%,80511207,182.87B
30,TCOM,Trip.com Group Limited,40.74B,2.08%,2976092,7.61B
31,YUM,"Yum! Brands, Inc.",40.43B,-0.03%,1062921,7.74B
32,LULU,lululemon athletica inc.,37.34B,-3.03%,1989874,10.59B
33,DHI,"D.R. Horton, Inc.",36.45B,-0.21%,2448391,35.32B
34,EBAY,eBay Inc.,33.14B,-0.32%,3562069,10.31B
35,QSR,Restaurant Brands International Inc.,31.86B,0.92%,1947773,8.78B
36,STLA,Stellantis N.V.,30.09B,-4.44%,15791411,162.42B
37,LI,Li Auto Inc.,29.29B,0.84%,2313342,19.79B
38,CCL,Carnival Corporation & plc,29.20B,-0.80%,15872811,25.42B
39,LVS,Las Vegas Sands Corp.,28.12B,-0.72%,4456113,11.20B
40,LEN,Lennar Corporation,27.75B,-0.10%,2072471,35.76B
41,ROL,"Rollins, Inc.",27.56B,0.21%,1332837,3.46B
42,TSCO,Tractor Supply Company,26.35B,0.06%,3690124,14.96B
43,IP,International Paper Company,25.17B,-1.97%,2695475,19.90B
44,DRI,"Darden Restaurants, Inc.",23.88B,0.07%,901448,11.76B
45,SW,Smurfit Westrock Plc,22.77B,-1.66%,2015653,25.84B
46,NVR,"NVR, Inc.",20.98B,-0.07%,18613,10.74B
47,AS,"Amer Sports, Inc.",20.54B,-1.20%,2969628,5.46B
48,AMCR,Amcor plc,20.52B,-0.78%,24950849,13.46B
49,EXPE,"Expedia Group, Inc.",20.21B,-1.08%,1262109,13.79B
50,PHM,"PulteGroup, Inc.",19.68B,-0.38%,1389630,17.89B
51,WSM,"Williams-Sonoma, Inc.",19.41B,-1.58%,2125105,7.78B
52,VIK,Viking Holdings Ltd,19.40B,1.39%,2763909,5.51B
53,XPEV,XPeng Inc.,19.01B,-2.44%,8978047,6.91B
54,ONON,On Holding AG,18.93B,-0.65%,4394805,2.87B
55,ULTA,"Ulta Beauty, Inc.",18.38B,-0.82%,566638,11.30B
56,CHWY,"Chewy, Inc.",18.17B,-0.02%,6270627,11.86B
57,IHG,InterContinental Hotels Group PLC,17.94B,-0.27%,215925,4.92B
58,RIVN,"Rivian Automotive, Inc.",17.92B,-1.76%,21778394,5.01B
59,GPC,Genuine Parts Company,17.52B,-0.54%,978633,23.57B
60,DKNG,DraftKings Inc.,17.41B,0.60%,6509146,5.00B
61,PKG,Packaging Corporation of America,17.04B,-0.95%,594739,8.54B
62,CASY,"Casey's General Stores, Inc.",16.55B,0.38%,225185,15.55B
63,RL,Ralph Lauren Corporation,16.53B,-1.20%,1043458,7.08B
64,DPZ,"Domino's Pizza, Inc.",16.45B,-0.38%,352239,4.73B
65,TPR,"Tapestry, Inc.",15.97B,-2.68%,3936784,6.88B
66,YUMC,"Yum China Holdings, Inc.",15.82B,0.24%,2771637,11.33B
67,DECK,Deckers Outdoor Corporation,15.34B,-19.86%,19581131,4.99B
68,BBY,"Best Buy Co., Inc.",14.80B,-1.19%,3591179,41.53B
69,BURL,"Burlington Stores, Inc.",14.79B,-9.40%,1939285,10.63B
70,GME,GameStop Corp.,14.77B,7.03%,30477595,3.82B
71,APTV,Aptiv PLC,14.38B,-1.36%,1530811,19.64B
72,BALL,Ball Corporation,14.36B,-2.93%,3813237,12.02B
73,AVY,Avery Dennison Corporation,13.88B,-1.53%,586541,8.75B
74,DKS,"DICK'S Sporting Goods, Inc.",13.39B,-3.00%,1835612,13.44B
75,SGI,Somnigroup International Inc.,13.31B,-0.56%,1972415,5.35B
76,SN,"SharkNinja, Inc.",13.31B,-1.06%,1301361,5.69B
77,MBLY,Mobileye Global Inc.,12.68B,-2.38%,2414419,1.85B
78,TXRH,"Texas Roadhouse, Inc.",12.60B,0.67%,662431,5.50B
79,CART,Maplebear Inc.,12.25B,-0.09%,3745354,3.46B
80,BROS,Dutch Bros Inc.,12.17B,-0.83%,2391365,1.36B
81,H,Hyatt Hotels Corporation,12.16B,-0.15%,582015,3.22B
82,MMYT,MakeMyTrip Limited,11.35B,2.62%,357389,978.34M
83,CCK,"Crown Holdings, Inc.",11.17B,-1.06%,913062,11.90B
84,HTHT,H World Group Limited,11.13B,2.28%,2103718,3.31B
85,SCI,Service Corporation International,10.93B,0.25%,947911,4.22B
86,PAG,"Penske Automotive Group, Inc.",10.73B,-0.30%,198411,30.61B
87,GAP,"The Gap, Inc.",10.72B,-1.49%,12998119,15.09B
88,LKQ,LKQ Corporation,10.37B,-0.79%,1812371,14.12B
89,TOL,"Toll Brothers, Inc.",10.25B,0.12%,1717914,10.66B
90,BIRK,Birkenstock Holding plc,10.00B,-3.32%,2801855,2.11B
91,MGA,Magna International Inc.,9.97B,-0.62%,1745888,41.94B
92,CAVA,"CAVA Group, Inc.",9.64B,-1.10%,2857285,1.04B
93,KMX,"CarMax, Inc.",9.49B,-1.50%,3156813,28.21B
94,WYNN,"Wynn Resorts, Limited",9.37B,-0.48%,1337042,6.97B
95,SKX,"Skechers U.S.A., Inc.",9.26B,-0.29%,7386999,9.13B
96,HAS,"Hasbro, Inc.",9.22B,-0.86%,1288505,4.27B
97,WING,Wingstop Inc.,9.00B,0.41%,476146,651.11M
98,PLNT,"Planet Fitness, Inc.",8.87B,0.57%,1539642,1.13B
99,MUSA,Murphy USA Inc.,8.77B,1.04%,415374,17.60B
100,ALSN,"Allison Transmission Holdings, Inc.",8.62B,-1.15%,564574,3.20B
101,NIO,NIO Inc.,8.57B,-1.55%,29147795,9.01B
102,MGM,MGM Resorts International,8.53B,-,2980063,17.13B
103,VFS,VinFast Auto Ltd.,8.19B,-1.13%,186772,1.73B
104,LAD,"Lithia Motors, Inc.",8.11B,1.26%,239428,36.80B
105,FND,"Floor & Decor Holdings, Inc.",7.89B,-1.08%,1633791,4.52B
106,LCID,"Lucid Group, Inc.",7.81B,-3.76%,86422990,870.14M
107,ALV,"Autoliv, Inc.",7.79B,0.17%,587916,10.35B
108,NCLH,Norwegian Cruise Line Holdings Ltd.,7.74B,-0.69%,7428879,9.42B
109,HRB,"H&R Block, Inc.",7.73B,0.28%,891608,3.71B
110,BFAM,Bright Horizons Family Solutions Inc.,7.42B,2.45%,720025,2.73B
111,ZK,ZEEKR Intelligent Technology Holding Limited,7.41B,-0.78%,565070,10.49B
112,VIPS,Vipshop Holdings Limited,7.39B,-1.31%,2262492,14.75B
113,GIL,Gildan Activewear Inc.,7.39B,0.18%,437720,3.29B
114,LNW,"Light & Wonder, Inc.",7.26B,4.88%,1360740,3.21B
115,BWA,BorgWarner Inc.,7.18B,-0.85%,2254112,14.01B
116,LEVI,Levi Strauss & Co.,7.01B,-1.06%,1972324,6.40B
117,AN,"AutoNation, Inc.",6.87B,0.90%,423300,26.97B
118,EAT,"Brinker International, Inc.",6.87B,3.71%,1457905,5.13B
119,GPK,Graphic Packaging Holding Company,6.82B,-0.13%,3175470,8.67B
120,CHDN,Churchill Downs Incorporated,6.73B,0.08%,563655,2.79B
121,WH,"Wyndham Hotels & Resorts, Inc.",6.50B,-0.72%,511877,1.42B
122,URBN,"Urban Outfitters, Inc.",6.48B,-1.27%,4371093,5.68B
123,BBWI,"Bath & Body Works, Inc.",6.45B,-3.54%,4254170,7.31B
124,DDS,"Dillard's, Inc.",6.37B,-3.47%,141503,6.56B
125,LTH,"Life Time Group Holdings, Inc.",6.35B,0.49%,980333,2.73B
126,MHK,"Mohawk Industries, Inc.",6.32B,-1.19%,375697,10.68B
127,MAT,"Mattel, Inc.",6.14B,-2.21%,2876107,5.40B
128,CROX,"Crocs, Inc.",6.07B,-2.77%,1608261,4.10B
129,BYD,Boyd Gaming Corporation,5.95B,-0.40%,948137,3.96B
130,CHH,"Choice Hotels International, Inc.",5.91B,-0.57%,297270,797.66M
131,FIVE,"Five Below, Inc.",5.91B,-2.51%,1104817,3.88B
132,SLGN,Silgan Holdings Inc.,5.83B,-0.84%,392417,6.00B
133,CZR,"Caesars Entertainment, Inc.",5.76B,-0.65%,4049149,11.30B
134,TMHC,Taylor Morrison Home Corporation,5.66B,-0.16%,642181,8.36B
135,MNSO,MINISO Group Holding Limited,5.61B,-17.58%,9185265,2.44B
136,MTN,"Vail Resorts, Inc.",5.52B,-0.46%,356862,2.95B
137,CHA,Chagee Holdings Limited,5.44B,-0.60%,292680,1.70B
138,GPI,"Group 1 Automotive, Inc.",5.40B,-0.15%,98251,20.97B
139,GLBE,Global-E Online Ltd.,5.36B,-1.65%,1755781,796.77M
140,SHAK,Shake Shack Inc.,5.02B,0.28%,1417554,1.28B
141,ETSY,"Etsy, Inc.",4.96B,-0.75%,3052191,2.81B
142,GNTX,Gentex Corporation,4.86B,-1.55%,2577613,2.30B
143,SKY,"Champion Homes, Inc.",4.83B,-1.63%,702002,2.43B
144,RRR,"Red Rock Resorts, Inc.",4.80B,-0.40%,726031,1.95B
145,BOOT,"Boot Barn Holdings, Inc.",4.80B,-1.64%,815939,1.91B
146,LEA,Lear Corporation,4.77B,-1.52%,694944,22.87B
147,MOD,Modine Manufacturing Company,4.71B,-0.60%,1132195,2.58B
148,SEE,Sealed Air Corporation,4.69B,-1.12%,1048870,5.34B
149,VFC,V.F. Corporation,4.68B,-1.32%,11780279,9.50B
150,W,Wayfair Inc.,4.65B,-0.06%,2743845,11.85B
151,REYN,Reynolds Consumer Products Inc.,4.62B,-0.72%,806521,3.68B
152,MTH,Meritage Homes Corporation,4.61B,-0.20%,536250,6.28B
153,SON,Sonoco Products Company,4.51B,1.29%,705140,5.71B
154,ATAT,Atour Lifestyle Holdings Limited,4.47B,-1.19%,1573210,1.06B
155,ABG,"Asbury Automotive Group, Inc.",4.43B,-0.63%,137725,17.14B
156,VVV,Valvoline Inc.,4.32B,-0.70%,1277945,1.67B
157,PVH,PVH Corp.,4.32B,-1.60%,1307084,8.65B
158,WHR,Whirlpool Corporation,4.30B,-0.58%,785859,15.74B
159,IBP,"Installed Building Products, Inc.",4.30B,0.75%,380762,2.93B
160,THO,"THOR Industries, Inc.",4.24B,-0.70%,867297,9.50B
161,SGHC,Super Group (SGHC) Limited,4.23B,0.48%,1195994,1.94B
162,GOLF,Acushnet Holdings Corp.,4.02B,-0.93%,375843,2.45B
163,FTDR,"Frontdoor, Inc.",3.94B,-0.24%,377909,1.89B
164,KTB,"Kontoor Brands, Inc.",3.87B,-1.97%,514104,2.60B
165,RUSHB,"Rush Enterprises, Inc.",3.86B,-1.17%,21631,7.78B
166,DORM,"Dorman Products, Inc.",3.82B,-0.90%,112878,2.05B
167,RUSHA,"Rush Enterprises, Inc.",3.81B,-1.49%,253945,7.78B
168,CVCO,"Cavco Industries, Inc.",3.79B,-5.30%,173321,2.02B
169,KBH,KB Home,3.68B,0.02%,1445461,6.85B
170,COLM,Columbia Sportswear Company,3.49B,-1.73%,559967,3.38B
171,ANF,Abercrombie & Fitch Co.,3.49B,-4.68%,1890943,4.95B
172,HGV,Hilton Grand Vacations Inc.,3.48B,-1.68%,655262,4.45B
173,RH,RH,3.46B,-1.27%,936101,3.18B
174,FUN,Six Flags Entertainment Corporation,3.46B,-1.36%,1854483,2.81B
175,BC,Brunswick Corporation,3.27B,-2.93%,672060,5.09B
176,M,"Macy's, Inc.",3.22B,-2.94%,6896796,23.01B
177,TNL,Travel + Leisure Co.,3.17B,-0.25%,556128,3.88B
178,GT,The Goodyear Tire & Rubber Company,3.13B,-1.62%,5666881,18.59B
179,IGT,International Game Technology PLC,3.10B,0.59%,2195108,2.43B
180,CARG,"CarGurus, Inc.",3.08B,-2.07%,499107,903.75M
181,PTON,"Peloton Interactive, Inc.",3.02B,4.99%,20950701,2.53B
182,HOG,"Harley-Davidson, Inc.",2.95B,-1.86%,1354276,4.79B
183,AAP,"Advance Auto Parts, Inc.",2.92B,-1.02%,9532604,8.91B
184,PATK,"Patrick Industries, Inc.",2.88B,-0.23%,232776,3.79B
185,GBTG,"Global Business Travel Group, Inc.",2.87B,-1.64%,1195888,2.43B
186,UAA,"Under Armour, Inc.",2.85B,2.61%,24913682,5.16B
187,MHO,"M/I Homes, Inc.",2.85B,0.05%,181131,4.43B
188,HSAI,Hesai Group,2.84B,-0.83%,4891878,284.58M
189,DRVN,Driven Brands Holdings Inc.,2.83B,-2.29%,624330,2.37B
190,ACVA,ACV Auctions Inc.,2.83B,-1.43%,1475331,674.16M
191,UA,"Under Armour, Inc.",2.76B,0.65%,4858302,5.16B
192,RSI,"Rush Street Interactive, Inc.",2.71B,0.42%,614199,969.06M
193,TPH,"Tri Pointe Homes, Inc.",2.71B,0.13%,684240,4.29B
194,ASO,"Academy Sports and Outdoors, Inc.",2.70B,-3.17%,1264798,5.93B
195,GEF.B,"Greif, Inc.",2.67B,-1.36%,8913,5.51B
196,DOOO,BRP Inc.,2.61B,-0.39%,85634,5.41B
197,SIG,Signet Jewelers Limited,2.61B,-1.79%,682958,6.70B
198,CAKE,The Cheesecake Factory Incorporated,2.60B,0.44%,952428,3.62B
199,GEF,"Greif, Inc.",2.60B,-1.14%,89900,5.51B
200,GRBK,"Green Brick Partners, Inc.",2.60B,0.24%,208787,2.15B
201,PRKS,United Parks & Resorts Inc.,2.52B,-0.31%,550176,1.71B
202,MLCO,Melco Resorts & Entertainment Limited,2.51B,-0.81%,1266870,4.76B
203,YETI,"YETI Holdings, Inc.",2.44B,-2.12%,1642752,1.84B
204,PSNY,Polestar Automotive Holding UK PLC,2.41B,0.88%,3024983,2.03B
205,DAN,Dana Incorporated,2.39B,1.48%,1937066,9.90B
206,KAR,"OPENLANE, Inc.",2.37B,-1.38%,602318,1.82B
207,MCW,"Mister Car Wash, Inc.",2.30B,0.35%,1223763,1.02B
208,AMBP,Ardagh Metal Packaging S.A.,2.29B,-0.52%,1912981,5.04B
209,SAH,"Sonic Automotive, Inc.",2.28B,-0.10%,159479,14.49B
210,VAC,Marriott Vacations Worldwide Corporation,2.27B,-2.71%,494282,3.30B
211,VC,Visteon Corporation,2.26B,-1.20%,262133,3.87B
212,FL,"Foot Locker, Inc.",2.26B,-0.67%,5505963,7.99B
213,GTX,Garrett Motion Inc.,2.22B,-1.97%,2364991,3.44B
214,QS,QuantumScape Corporation,2.22B,-,9192010,-
215,LCII,LCI Industries,2.21B,-1.56%,245949,3.82B
