,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,444.02B,0.06%,12061013,341.09B
1,CVX,Chevron Corporation,238.45B,0.92%,7028016,195.11B
2,SHEL,Shell plc,194.33B,0.53%,3064132,281.07B
3,TTE,TotalEnergies SE,130.26B,-0.46%,1341204,191.63B
4,COP,ConocoPhillips,107.54B,-1.09%,6790341,59.09B
5,ENB,Enbridge Inc.,100.22B,1.97%,5087291,42.40B
6,BP,BP p.l.c.,75.05B,0.52%,7948489,185.41B
7,PBR,Petróleo Brasileiro S.A. - Petrobras,74.01B,0.25%,19456420,86.55B
8,PBR.A,Petróleo Brasileiro S.A. - Petrobras,74.01B,0.09%,5171483,86.55B
9,WMB,"The Williams Companies, Inc.",72.03B,2.15%,7191093,11.08B
10,EPD,Enterprise Products Partners L.P.,67.86B,-0.32%,2754903,56.88B
11,EQNR,Equinor ASA,65.45B,1.36%,2158349,106.80B
12,CNQ,Canadian Natural Resources Limited,64.81B,0.75%,3855983,26.68B
13,KMI,"Kinder Morgan, Inc.",61.91B,1.90%,12404214,15.50B
14,ET,Energy Transfer LP,61.26B,-0.17%,7746308,82.06B
15,EOG,"EOG Resources, Inc.",60.13B,-0.55%,1994792,23.48B
16,TRP,TC Energy Corporation,52.32B,1.90%,1290846,9.66B
17,MPLX,MPLX LP,51.66B,0.58%,1033287,11.38B
18,LNG,"Cheniere Energy, Inc.",50.82B,0.27%,1351411,16.74B
19,OKE,"ONEOK, Inc.",50.68B,-0.28%,2115458,24.96B
20,MPC,Marathon Petroleum Corporation,48.88B,0.14%,1576835,137.97B
21,PSX,Phillips 66,46.11B,0.13%,2247653,137.77B
22,SLB,Schlumberger Limited,45.78B,-0.27%,10465857,36.07B
23,SU,Suncor Energy Inc.,43.75B,0.96%,4215355,35.23B
24,E,Eni S.p.A.,43.23B,-0.03%,178860,98.31B
25,OXY,Occidental Petroleum Corporation,40.63B,0.51%,6511510,27.55B
26,HES,Hess Corporation,40.46B,1.03%,1793665,12.27B
27,VLO,Valero Energy Corporation,40.26B,-0.13%,2055127,122.36B
28,FANG,"Diamondback Energy, Inc.",39.69B,-0.32%,1730041,12.29B
29,IMO,Imperial Oil Limited,36.43B,0.67%,307347,35.99B
30,BKR,Baker Hughes Company,36.40B,0.41%,4630997,27.84B
31,TRGP,Targa Resources Corp.,34.81B,0.86%,1475205,16.38B
32,EQT,EQT Corporation,33.29B,-0.14%,6813582,6.16B
33,TPL,Texas Pacific Land Corporation,29.25B,-0.51%,84591,727.66M
34,CQP,"Cheniere Energy Partners, L.P.",27.99B,1.01%,141081,9.40B
35,EXE,Expand Energy Corporation,27.60B,1.37%,1820316,6.57B
36,VG,"Venture Global, Inc.",27.56B,3.73%,6204200,6.45B
37,WDS,Woodside Energy Group Ltd,26.20B,1.23%,532384,13.18B
38,CCJ,Cameco Corporation,25.48B,11.13%,13343105,2.29B
39,CVE,Cenovus Energy Inc.,24.66B,2.33%,12807302,37.93B
40,PBA,Pembina Pipeline Corporation,21.73B,1.05%,1151516,5.65B
41,DVN,Devon Energy Corporation,20.01B,0.06%,7037383,15.94B
42,CTRA,Coterra Energy Inc.,18.72B,0.45%,4434180,5.80B
43,TS,Tenaris S.A.,17.75B,0.56%,988411,12.00B
44,EC,Ecopetrol S.A.,17.57B,1.65%,1255644,31.81B
45,HAL,Halliburton Company,17.12B,-0.25%,8118966,22.56B
46,WES,"Western Midstream Partners, LP",14.85B,0.65%,867218,3.63B
47,YPF,YPF Sociedad Anónima,14.68B,1.11%,1072635,17.86B
48,FTI,TechnipFMC plc,12.45B,0.44%,2524711,9.30B
49,AR,Antero Resources Corporation,12.26B,1.13%,2894052,4.61B
50,PAA,"Plains All American Pipeline, L.P.",11.77B,0.72%,1561547,50.09B
51,VNOM,"Viper Energy, Inc.",11.45B,-0.85%,681892,854.20M
52,DTM,"DT Midstream, Inc.",10.57B,1.94%,633014,1.04B
53,PR,Permian Resources Corporation,10.17B,-1.01%,6310714,5.13B
54,RRC,Range Resources Corporation,9.45B,0.36%,1366889,2.61B
55,OVV,Ovintiv Inc.,9.32B,0.53%,3202816,8.93B
56,AM,Antero Midstream Corporation,8.94B,0.81%,1637147,1.19B
57,HESM,Hess Midstream LP,8.22B,0.39%,695377,1.52B
58,SUN,Sunoco LP,7.52B,0.53%,220034,22.37B
59,NFG,National Fuel Gas Company,7.45B,2.32%,480329,2.07B
60,KNTK,Kinetik Holdings Inc.,7.08B,0.97%,764621,1.58B
61,CRK,"Comstock Resources, Inc.",6.96B,2.33%,967308,1.43B
62,DINO,HF Sinclair Corporation,6.70B,0.37%,1617760,27.92B
63,APA,APA Corporation,6.08B,0.66%,6821800,10.15B
64,LB,LandBridge Company LLC,5.99B,0.45%,266674,134.89M
65,SOBO,South Bow Corporation,5.54B,2.81%,856229,2.07B
66,MTDR,Matador Resources Company,5.43B,-0.46%,1048158,3.44B
67,VIST,"Vista Energy, S.A.B. de C.V.",5.24B,0.85%,384290,1.77B
68,CHRD,Chord Energy Corporation,5.18B,-0.55%,548615,5.04B
