,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,"1,085.76B",-0.02%,3158248,371.29B
1,JPM,JPMorgan Chase & Co.,724.54B,0.02%,6670567,168.71B
2,V,Visa Inc.,661.88B,-1.24%,5344664,37.62B
3,MA,Mastercard Incorporated,511.76B,-1.15%,1948745,29.07B
4,BAC,Bank of America Corporation,325.38B,-0.25%,34877514,97.45B
5,WFC,Wells Fargo & Company,237.00B,-0.76%,9268742,77.25B
6,HSBC,HSBC Holdings plc,204.72B,-0.29%,1527259,57.99B
7,MS,Morgan Stanley,202.26B,-0.15%,3362540,63.96B
8,AXP,American Express Company,199.82B,-0.68%,1723881,62.05B
9,RY,Royal Bank of Canada,180.73B,1.51%,1355152,39.47B
10,GS,"The Goldman Sachs Group, Inc.",175.40B,0.05%,1530891,53.04B
11,HDB,HDFC Bank Limited,174.42B,1.73%,3094528,31.93B
12,BX,Blackstone Inc.,166.27B,-0.59%,2613853,12.37B
13,PGR,The Progressive Corporation,162.56B,0.06%,1677501,78.51B
14,SCHW,The Charles Schwab Corporation,158.80B,0.10%,5166059,20.47B
15,MUFG,"Mitsubishi UFJ Financial Group, Inc.",157.49B,-0.88%,9060047,53.45B
16,SPGI,S&P Global Inc.,156.41B,-0.25%,1293828,14.49B
17,BLK,"BlackRock, Inc.",149.22B,-0.69%,517312,20.96B
18,C,Citigroup Inc.,136.51B,-0.45%,9850034,71.82B
19,IBN,ICICI Bank Limited,122.41B,1.81%,6752038,23.48B
20,SAN,"Banco Santander, S.A.",119.71B,-0.38%,3241821,54.84B
21,TD,The Toronto-Dominion Bank,116.29B,1.12%,2347686,45.02B
22,CB,Chubb Limited,114.51B,-0.34%,745511,56.31B
23,MMC,"Marsh & McLennan Companies, Inc.",113.04B,0.38%,1514182,25.05B
24,KKR,KKR & Co. Inc.,104.37B,-0.86%,3022313,20.31B
25,CME,CME Group Inc.,102.37B,0.73%,2317211,6.27B
26,ICE,"Intercontinental Exchange, Inc.",101.03B,1.22%,2248017,9.46B
27,SMFG,"Sumitomo Mitsui Financial Group, Inc.",97.73B,1.34%,1910970,34.86B
28,UBS,UBS Group AG,97.32B,-1.18%,2217847,47.76B
29,BAM,Brookfield Asset Management Ltd.,90.99B,-1.19%,1923455,4.18B
30,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",88.11B,-1.75%,2041638,34.61B
31,IBKR,"Interactive Brokers Group, Inc.",87.31B,-0.05%,634961,5.40B
32,AJG,Arthur J. Gallagher & Co.,86.57B,0.76%,859394,11.24B
33,BN,Brookfield Corporation,85.12B,-0.14%,1528612,83.61B
34,MCO,Moody's Corporation,84.51B,-0.45%,363515,7.23B
35,AON,Aon plc,76.99B,0.34%,1087063,16.36B
36,BMO,Bank of Montreal,75.43B,0.29%,554398,20.90B
37,APO,"Apollo Global Management, Inc.",74.79B,0.05%,2347990,24.39B
38,COF,Capital One Financial Corporation,70.91B,-1.85%,6579411,28.31B
39,MFG,"Mizuho Financial Group, Inc.",68.68B,0.74%,2379285,25.94B
40,PNC,"The PNC Financial Services Group, Inc.",67.97B,-0.68%,1641265,21.01B
41,PYPL,"PayPal Holdings, Inc.",67.93B,-2.24%,7686737,31.89B
42,ITUB,Itaú Unibanco Holding S.A.,67.40B,0.61%,38437335,24.04B
43,COIN,"Coinbase Global, Inc.",67.03B,-3.23%,9291142,6.67B
44,USB,U.S. Bancorp,66.90B,-0.42%,5800036,25.36B
45,BNS,The Bank of Nova Scotia,64.88B,1.10%,1542817,19.94B
46,CM,Canadian Imperial Bank of Commerce,63.92B,1.81%,1177972,17.05B
47,BK,The Bank of New York Mellon Corporation,63.74B,-0.10%,2974082,18.82B
48,ING,ING Groep N.V.,63.37B,-1.35%,2678120,21.68B
49,LYG,Lloyds Banking Group plc,62.80B,0.47%,25734721,22.69B
50,BCS,Barclays PLC,61.95B,0.06%,14515165,32.14B
51,TRV,"The Travelers Companies, Inc.",61.41B,-0.01%,832606,47.01B
52,NU,Nu Holdings Ltd.,57.84B,-2.12%,77290154,5.65B
53,NWG,NatWest Group plc,56.97B,1.13%,4510747,19.06B
54,HOOD,"Robinhood Markets, Inc.",55.75B,-2.47%,28587140,3.26B
55,AFL,Aflac Incorporated,55.43B,0.08%,1641325,16.89B
56,DB,Deutsche Bank Aktiengesellschaft,54.21B,-4.25%,4170129,31.32B
57,ALL,The Allstate Corporation,53.82B,0.36%,821205,65.30B
58,MFC,Manulife Financial Corporation,53.30B,0.87%,1161844,20.89B
59,ARES,Ares Management Corporation,52.35B,0.26%,1008708,4.27B
60,MET,"MetLife, Inc.",51.83B,-0.58%,2959820,73.49B
61,TFC,Truist Financial Corporation,51.44B,-0.53%,7393243,11.53B
62,AMP,"Ameriprise Financial, Inc.",48.04B,-0.74%,379423,18.08B
63,AIG,"American International Group, Inc.",47.04B,-0.49%,3313602,27.05B
64,NDAQ,"Nasdaq, Inc.",46.95B,0.70%,3859033,7.82B
65,MSCI,MSCI Inc.,43.23B,-0.92%,226490,2.92B
66,HIG,"The Hartford Insurance Group, Inc.",36.63B,-0.10%,1472253,26.95B
67,PRU,"Prudential Financial, Inc.",36.08B,-0.39%,1513021,60.37B
68,SLF,Sun Life Financial Inc.,35.86B,0.82%,6561030,23.43B
69,TW,Tradeweb Markets Inc.,34.43B,1.06%,673732,1.82B
70,ACGL,Arch Capital Group Ltd.,34.36B,0.11%,976864,18.17B
71,BRO,"Brown & Brown, Inc.",31.76B,0.35%,1210540,4.86B
72,WTW,Willis Towers Watson Public Limited Company,30.64B,0.31%,372315,9.81B
73,LPLA,LPL Financial Holdings Inc.,29.79B,-1.30%,459657,12.90B
74,RJF,"Raymond James Financial, Inc.",29.32B,-0.79%,639569,13.57B
75,PUK,Prudential plc,28.85B,-0.71%,939562,12.26B
76,MTB,M&T Bank Corporation,28.80B,-0.65%,1262083,8.79B
77,OWL,Blue Owl Capital Inc.,28.28B,0.22%,4344032,2.47B
78,WRB,W. R. Berkley Corporation,27.72B,1.23%,1261339,13.93B
79,STT,State Street Corporation,27.41B,-0.27%,1116043,13.09B
80,KB,KB Financial Group Inc.,27.34B,3.03%,159737,10.14B
81,BBD,Banco Bradesco S.A.,27.17B,1.45%,66694401,14.59B
82,RKT,"Rocket Companies, Inc.",25.36B,0.88%,5886523,5.08B
83,FITB,Fifth Third Bancorp,24.83B,-0.84%,2974935,7.91B
84,CBOE,"Cboe Global Markets, Inc.",24.25B,1.38%,637581,4.33B
85,FCNCA,"First Citizens BancShares, Inc.",24.22B,-1.02%,44950,9.09B
86,IX,ORIX Corporation,23.65B,-0.15%,147573,19.20B
87,MKL,Markel Group Inc.,23.60B,0.06%,39950,15.55B
88,CINF,Cincinnati Financial Corporation,22.79B,0.36%,329724,10.97B
89,HBAN,Huntington Bancshares Incorporated,22.32B,-0.71%,25779690,7.10B
90,SYF,Synchrony Financial,21.60B,-1.25%,2218853,8.71B
91,NTRS,Northern Trust Corporation,20.58B,-0.58%,1159310,8.58B
92,TROW,"T. Rowe Price Group, Inc.",20.49B,-1.52%,1105296,7.11B
93,SHG,"Shinhan Financial Group Co., Ltd.",20.09B,2.52%,236551,9.94B
94,BSBR,Banco Santander (Brasil) S.A.,19.66B,0.76%,458114,8.35B
