,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,640.72B,-0.21%,2642420,49.00B
1,JNJ,Johnson & Johnson,367.98B,0.22%,6727440,89.33B
2,ABBV,AbbVie Inc.,323.71B,0.39%,4027294,57.37B
3,NVO,Novo Nordisk A/S,311.77B,-1.20%,6511283,43.92B
4,UNH,UnitedHealth Group Incorporated,268.12B,-0.37%,16859670,410.06B
5,ABT,Abbott Laboratories,228.44B,-0.15%,6145755,42.34B
6,NVS,Novartis AG,224.07B,0.22%,898840,53.22B
7,AZN,AstraZeneca PLC,219.48B,0.66%,3955355,54.98B
8,MRK,"Merck & Co., Inc.",194.81B,-0.33%,10901763,63.92B
9,ISRG,"Intuitive Surgical, Inc.",193.38B,-0.58%,1087986,8.71B
10,BSX,Boston Scientific Corporation,154.60B,-,5205066,17.55B
11,TMO,Thermo Fisher Scientific Inc.,148.60B,-1.70%,2318922,42.90B
12,AMGN,Amgen Inc.,146.07B,-0.09%,2528645,34.13B
13,SYK,Stryker Corporation,143.93B,-0.44%,1579701,23.22B
14,GILD,"Gilead Sciences, Inc.",133.56B,0.59%,6037195,28.74B
15,PFE,Pfizer Inc.,132.58B,1.22%,35501312,62.46B
16,DHR,Danaher Corporation,132.07B,-1.57%,2814654,23.82B
17,SNY,Sanofi,128.63B,-1.01%,1775666,48.82B
18,VRTX,Vertex Pharmaceuticals Incorporated,111.96B,0.45%,1427129,11.10B
19,MDT,Medtronic plc,103.43B,-0.28%,10576323,33.54B
20,BMY,Bristol-Myers Squibb Company,95.34B,-0.38%,8401845,47.64B
21,HCA,"HCA Healthcare, Inc.",90.60B,-0.01%,1138174,71.59B
22,MCK,McKesson Corporation,89.59B,0.77%,815974,359.05B
23,CI,The Cigna Group,84.41B,1.06%,1667817,255.37B
24,ELV,"Elevance Health, Inc.",84.11B,-3.18%,2480112,183.12B
25,GSK,GSK plc,78.06B,-0.67%,3666894,40.74B
26,CVS,CVS Health Corporation,76.95B,1.01%,8150806,376.74B
27,ZTS,Zoetis Inc.,72.38B,0.38%,2732206,9.29B
28,REGN,"Regeneron Pharmaceuticals, Inc.",62.17B,-1.43%,656381,14.09B
29,COR,"Cencora, Inc.",56.66B,0.77%,1356347,310.23B
30,HLN,Haleon plc,50.03B,0.72%,20774147,14.06B
