,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GE,General Electric Company,248.24B,1.09%,4233605,39.68B
1,RTX,RTX Corporation,176.81B,-1.28%,5510692,81.74B
2,CAT,Caterpillar Inc.,161.50B,-0.52%,1936121,63.26B
3,BA,The Boeing Company,152.58B,-0.52%,5253719,69.44B
4,HON,Honeywell International Inc.,142.69B,-0.72%,2537677,39.22B
5,DE,Deere & Company,138.44B,-1.08%,850893,45.38B
6,UNP,Union Pacific Corporation,132.71B,-0.34%,3228392,24.25B
7,GEV,GE Vernova Inc.,126.75B,1.21%,3435106,35.71B
8,ETN,Eaton Corporation plc,125.63B,-,1432545,25.31B
9,LMT,Lockheed Martin Corporation,109.86B,-0.33%,866421,71.81B
10,RELX,RELX PLC,101.97B,0.84%,873654,11.81B
11,WM,"Waste Management, Inc.",95.28B,1.50%,1503175,22.92B
12,TT,Trane Technologies plc,94.40B,-0.23%,1033856,20.31B
13,CTAS,Cintas Corporation,89.76B,0.28%,1296254,10.14B
14,TRI,Thomson Reuters Corporation,87.65B,0.49%,441280,7.27B
15,PH,Parker-Hannifin Corporation,83.69B,-0.36%,433104,19.79B
16,UPS,"United Parcel Service, Inc.",80.76B,-1.65%,3318980,90.91B
17,TDG,TransDigm Group Incorporated,80.40B,1.88%,430441,8.39B
18,MMM,3M Company,79.45B,-1.44%,2370225,24.51B
19,RSG,"Republic Services, Inc.",79.02B,0.74%,1074395,16.18B
20,CP,Canadian Pacific Kansas City Limited,74.36B,-0.29%,2040245,10.31B
21,GD,General Dynamics Corporation,73.63B,-0.82%,836703,49.21B
22,ITW,Illinois Tool Works Inc.,70.95B,-1.17%,752444,15.76B
23,NOC,Northrop Grumman Corporation,67.86B,-0.30%,679115,40.37B
24,HWM,Howmet Aerospace Inc.,66.64B,1.28%,2045505,7.55B
25,EMR,Emerson Electric Co.,66.51B,0.76%,4430378,17.61B
26,CNI,Canadian National Railway Company,65.76B,-1.17%,1221524,11.97B
27,JCI,Johnson Controls International plc,64.48B,0.06%,3223960,23.25B
28,CARR,Carrier Global Corporation,60.85B,-1.10%,4454365,22.28B
29,CSX,CSX Corporation,57.90B,0.59%,21147578,14.28B
30,AXON,"Axon Enterprise, Inc.",56.94B,1.05%,421732,2.23B
31,NSC,Norfolk Southern Corporation,54.11B,0.16%,1414582,12.11B
32,FDX,FedEx Corporation,51.90B,-1.01%,1497148,87.82B
33,CPRT,"Copart, Inc.",51.85B,-11.52%,20810140,4.59B
34,GWW,"W.W. Grainger, Inc.",51.49B,-0.58%,127610,17.24B
35,WCN,"Waste Connections, Inc.",50.86B,0.99%,859473,9.08B
36,PWR,"Quanta Services, Inc.",49.70B,1.37%,932616,24.87B
37,PCAR,PACCAR Inc,48.95B,-1.16%,2224341,32.36B
38,FAST,Fastenal Company,46.64B,-0.17%,3872085,7.61B
39,URI,"United Rentals, Inc.",45.51B,-0.51%,333229,15.58B
40,LHX,"L3Harris Technologies, Inc.",44.40B,-0.71%,2359666,21.25B
41,VRSK,"Verisk Analytics, Inc.",43.89B,-0.18%,542043,2.93B
42,CMI,Cummins Inc.,43.70B,-1.42%,507751,33.87B
43,AME,"AMETEK, Inc.",41.01B,-0.50%,1108455,6.94B
44,VRT,Vertiv Holdings Co,39.69B,-0.06%,3966823,8.41B
45,OTIS,Otis Worldwide Corporation,38.20B,-0.41%,2286593,14.17B
46,FER,Ferrovial SE,37.68B,-0.11%,103198,9.47B
47,HEI,HEICO Corporation,37.24B,0.36%,352205,3.99B
48,FERG,Ferguson Enterprises Inc.,35.41B,-0.61%,1551031,29.90B
49,ROK,"Rockwell Automation, Inc.",34.44B,-0.25%,481474,7.97B
50,ODFL,"Old Dominion Freight Line, Inc.",34.14B,-1.25%,896007,5.73B
51,WAB,Westinghouse Air Brake Technologies Corporation,34.11B,-0.43%,626363,10.50B
52,EFX,Equifax Inc.,32.56B,-0.46%,660159,5.73B
53,HEI.A,HEICO Corporation,32.50B,0.37%,147047,3.99B
54,IR,Ingersoll Rand Inc.,32.43B,-1.01%,3790251,7.28B
55,DAL,"Delta Air Lines, Inc.",31.29B,-1.20%,7812155,61.94B
56,XYL,Xylem Inc.,30.19B,-0.97%,1282185,8.60B
57,RYAAY,Ryanair Holdings plc,28.69B,1.52%,1494848,15.08B
58,VLTO,Veralto Corporation,24.90B,-0.51%,1065165,5.28B
59,DOV,Dover Corporation,24.39B,-1.09%,1170107,7.73B
60,UAL,"United Airlines Holdings, Inc.",24.38B,-1.78%,4805926,57.74B
61,HUBB,Hubbell Incorporated,20.85B,0.31%,737673,5.59B
62,EME,"EMCOR Group, Inc.",20.74B,1.09%,397634,15.00B
63,LII,Lennox International Inc.,20.13B,-1.29%,288390,5.37B
64,AER,AerCap Holdings N.V.,19.90B,0.57%,1119906,8.06B
65,RBA,"RB Global, Inc.",19.85B,-1.25%,982958,4.33B
66,GPN,Global Payments Inc.,18.07B,-2.15%,2199890,10.10B
67,GFL,GFL Environmental Inc.,17.98B,0.72%,1014991,5.56B
68,LUV,Southwest Airlines Co.,17.64B,-0.83%,9085161,27.58B
69,WSO,"Watsco, Inc.",17.25B,-0.19%,252686,7.58B
70,ESLT,Elbit Systems Ltd.,17.03B,0.64%,280043,7.17B
71,SYM,Symbotic Inc.,16.95B,-2.29%,1440095,2.07B
72,SNA,Snap-on Incorporated,16.70B,-0.58%,289665,5.07B
73,CSL,Carlisle Companies Incorporated,16.69B,-0.68%,242402,5.00B
74,FIX,"Comfort Systems USA, Inc.",16.59B,2.00%,261768,7.32B
75,CW,Curtiss-Wright Corporation,16.15B,3.01%,379860,3.21B
76,CNH,CNH Industrial N.V.,15.94B,-1.54%,17824619,18.85B
77,PNR,Pentair plc,15.92B,-0.88%,1252433,4.08B
78,EXPD,"Expeditors International of Washington, Inc.",15.40B,-1.08%,1102964,11.06B
79,J,Jacobs Solutions Inc.,15.10B,-0.76%,510847,11.69B
80,ULS,UL Solutions Inc.,14.39B,1.11%,419564,2.91B
81,ACM,AECOM,14.21B,0.21%,537047,16.05B
82,GGG,Graco Inc.,13.98B,-1.04%,459083,2.15B
83,XPO,"XPO, Inc.",13.78B,-1.50%,1031344,8.01B
84,BAH,Booz Allen Hamilton Holding Corporation,13.65B,-16.53%,8972064,11.98B
85,JBHT,"J.B. Hunt Transport Services, Inc.",13.63B,-1.16%,792955,12.06B
86,IEX,IDEX Corporation,13.57B,-0.84%,421433,3.28B
87,ZTO,ZTO Express (Cayman) Inc.,13.53B,0.24%,2450283,6.23B
88,TXT,Textron Inc.,13.16B,-0.76%,804252,13.87B
89,MAS,Masco Corporation,13.08B,-1.42%,1677714,7.70B
90,APG,APi Group Corporation,12.63B,-0.24%,1252354,7.14B
91,WWD,"Woodward, Inc.",12.53B,2.24%,448702,3.36B
92,ALLE,Allegion plc,12.16B,-0.23%,617089,3.82B
93,UHAL,U-Haul Holding Company,12.15B,0.60%,106589,5.69B
94,CLH,"Clean Harbors, Inc.",12.14B,-0.53%,301088,5.95B
95,RTO,Rentokil Initial plc,11.99B,2.19%,531963,6.81B
96,BLDR,"Builders FirstSource, Inc.",11.97B,-1.37%,1382988,16.17B
97,MTZ,"MasTec, Inc.",11.83B,1.11%,772741,12.46B
98,FTAI,FTAI Aviation Ltd.,11.75B,1.46%,1205711,1.91B
99,RKLB,"Rocket Lab USA, Inc.",11.73B,-1.55%,14248838,466.02M
100,PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",11.73B,2.25%,71927,1.44B
101,ITT,ITT Inc.,11.60B,-0.61%,380926,3.63B
102,STN,Stantec Inc.,11.59B,1.11%,167273,4.21B
103,LTM,LATAM Airlines Group S.A.,11.47B,2.41%,198441,12.91B
104,CRS,Carpenter Technology Corporation,11.46B,1.84%,886723,2.92B
105,OC,Owens Corning,11.38B,-0.99%,654340,11.49B
106,CHRW,"C.H. Robinson Worldwide, Inc.",11.37B,-0.80%,938547,17.36B
107,POOL,Pool Corporation,11.36B,-0.39%,363762,5.26B
108,RBC,RBC Bearings Incorporated,11.30B,0.20%,176228,1.64B
109,NDSN,Nordson Corporation,11.01B,-1.26%,319091,2.67B
110,DRS,"Leonardo DRS, Inc.",10.92B,0.79%,951236,3.35B
111,BWXT,"BWX Technologies, Inc.",10.92B,11.03%,2594233,2.78B
112,NVT,nVent Electric plc,10.74B,0.62%,1256954,3.08B
113,LECO,"Lincoln Electric Holdings, Inc.",10.69B,-1.02%,263227,4.03B
114,ATI,ATI Inc.,10.67B,0.65%,1775821,4.46B
115,CNM,"Core & Main, Inc.",10.46B,-0.32%,920711,7.44B
116,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",10.37B,1.03%,31235,1.60B
117,ARMK,Aramark,10.25B,0.62%,1287051,17.62B
118,SWK,"Stanley Black & Decker, Inc.",10.14B,-1.24%,1917782,15.24B
119,CR,Crane Company,9.78B,-0.37%,217379,2.18B
120,AOS,A. O. Smith Corporation,9.52B,-0.52%,1270450,3.80B
121,SARO,"StandardAero, Inc.",9.42B,0.57%,7277129,5.44B
122,TTEK,"Tetra Tech, Inc.",9.33B,-0.08%,2022011,4.56B
123,RRX,Regal Rexnord Corporation,8.91B,-0.46%,531130,5.90B
124,HII,"Huntington Ingalls Industries, Inc.",8.82B,0.11%,256760,11.46B
125,ERJ,Embraer S.A.,8.67B,0.17%,730079,6.52B
126,SMR,NuScale Power Corporation,8.60B,19.43%,48870266,49.04M
127,WMS,"Advanced Drainage Systems, Inc.",8.53B,-0.91%,493986,2.90B
128,AIT,"Applied Industrial Technologies, Inc.",8.49B,-0.19%,272715,4.50B
129,MLI,"Mueller Industries, Inc.",8.39B,-0.32%,629175,3.92B
