,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LIN,Linde plc,216.02B,-0.02%,1624361,33.02B
1,BHP,BHP Group Limited,127.26B,1.51%,1972834,53.97B
2,RIO,Rio Tinto Group,105.30B,0.75%,4510599,53.66B
3,SHW,The Sherwin-Williams Company,88.16B,-0.12%,1017683,23.04B
4,SCCO,Southern Copper Corporation,74.25B,2.12%,1071784,11.96B
5,ECL,Ecolab Inc.,74.03B,0.55%,795984,15.68B
6,CRH,CRH plc,63.50B,-1.12%,5235672,35.80B
7,APD,"Air Products and Chemicals, Inc.",60.05B,0.22%,527529,12.02B
8,NEM,Newmont Corporation,59.66B,1.90%,10172957,19.67B
9,AEM,Agnico Eagle Mines Limited,59.11B,2.64%,3315128,8.92B
10,FCX,Freeport-McMoRan Inc.,56.04B,3.50%,15310339,24.86B
11,CTVA,"Corteva, Inc.",47.11B,0.69%,2541436,16.83B
12,VALE,Vale S.A.,40.84B,0.21%,31060437,36.89B
13,WPM,Wheaton Precious Metals Corp.,39.21B,2.44%,1505279,1.46B
14,VMC,Vulcan Materials Company,35.43B,-1.28%,816268,7.51B
15,MLM,"Martin Marietta Materials, Inc.",33.86B,-0.53%,362950,6.64B
16,B,Barrick Mining Corporation,32.71B,2.14%,11918739,13.31B
17,FNV,Franco-Nevada Corporation,32.64B,2.33%,483905,1.21B
18,NTR,Nutrien Ltd.,29.00B,1.32%,1544703,24.74B
19,DD,"DuPont de Nemours, Inc.",28.31B,-0.53%,1748459,12.52B
20,NUE,Nucor Corporation,25.03B,-1.99%,3907308,30.43B
21,PPG,"PPG Industries, Inc.",24.99B,-1.02%,949568,15.68B
22,MT,ArcelorMittal S.A.,24.10B,1.34%,3349940,60.96B
23,AU,AngloGold Ashanti plc,22.20B,2.71%,2420103,6.59B
24,DOW,Dow Inc.,20.02B,-1.22%,7093358,42.63B
25,GFI,Gold Fields Limited,19.89B,4.76%,2867327,5.20B
26,IFF,International Flavors & Fragrances Inc.,19.18B,-0.95%,1402561,11.43B
27,STLD,"Steel Dynamics, Inc.",18.60B,-3.52%,3180821,17.22B
28,TECK,Teck Resources Limited,18.18B,3.19%,2992279,6.77B
29,LYB,LyondellBasell Industries N.V.,18.04B,-0.36%,3017198,39.68B
30,KGC,Kinross Gold Corporation,18.00B,1.59%,16997571,5.56B
31,RS,"Reliance, Inc.",15.35B,-1.30%,250429,13.67B
32,CF,"CF Industries Holdings, Inc.",14.40B,-0.02%,1255524,6.13B
33,RPM,RPM International Inc.,14.37B,-0.51%,591666,7.30B
34,PKX,POSCO Holdings Inc.,14.16B,-,174784,48.94B
35,RGLD,"Royal Gold, Inc.",11.89B,2.18%,389221,757.00M
36,X,United States Steel Corporation,11.78B,21.24%,54242688,15.21B
37,SUZ,Suzano S.A.,11.55B,-0.43%,1192048,8.63B
38,MOS,The Mosaic Company,11.13B,0.26%,2932302,11.06B
39,AGI,Alamos Gold Inc.,11.02B,2.18%,3043141,1.40B
40,CX,"CEMEX, S.A.B. de C.V.",10.86B,1.86%,16928966,15.91B
41,JHX,James Hardie Industries plc,9.96B,-1.30%,2975338,3.88B
42,HMY,Harmony Gold Mining Company Limited,9.47B,4.35%,3861997,3.55B
43,SQM,Sociedad Química y Minera de Chile S.A.,9.42B,-0.96%,793983,4.53B
44,EMN,Eastman Chemical Company,9.30B,-1.01%,1056153,9.36B
45,WLK,Westlake Corporation,9.17B,-1.12%,979829,12.01B
46,PAAS,Pan American Silver Corp.,8.72B,1.22%,3923920,2.99B
47,ICL,ICL Group Ltd,8.23B,0.63%,470426,6.87B
48,AA,Alcoa Corporation,7.27B,0.32%,5306112,12.67B
49,EXP,Eagle Materials Inc.,7.01B,0.33%,316775,2.26B
50,ALB,Albemarle Corporation,6.78B,-0.57%,2710405,5.09B
51,AXTA,Axalta Coating Systems Ltd.,6.76B,-2.00%,2108824,5.24B
52,SSD,"Simpson Manufacturing Co., Inc.",6.46B,-0.70%,163093,2.24B
53,NEU,NewMarket Corporation,6.04B,-1.02%,36771,2.79B
54,UFPI,"UFP Industries, Inc.",5.82B,-1.37%,435199,6.61B
55,WFG,West Fraser Timber Co. Ltd.,5.80B,-0.07%,106199,6.01B
56,CE,Celanese Corporation,5.74B,-1.98%,1409368,10.06B
57,GGB,Gerdau S.A.,5.46B,-0.37%,13665517,11.89B
58,KNF,Knife River Corporation,5.44B,-0.59%,210812,2.92B
59,TX,Ternium S.A.,5.43B,-0.32%,113461,16.80B
60,BCPC,Balchem Corporation,5.41B,-0.91%,93766,964.54M
61,CMC,Commercial Metals Company,5.21B,-1.24%,880918,7.74B
62,ESI,Element Solutions Inc,5.19B,-0.88%,973986,2.48B
