,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMT,American Tower Corporation,99.18B,0.76%,1573138,10.18B
1,PLD,"Prologis, Inc.",98.30B,-1.00%,3075299,8.73B
2,WELL,Welltower Inc.,97.55B,1.55%,2183120,8.55B
3,EQIX,"Equinix, Inc.",84.46B,-0.35%,439723,8.81B
4,SPG,"Simon Property Group, Inc.",59.12B,-0.75%,1268390,5.99B
5,DLR,"Digital Realty Trust, Inc.",57.69B,0.10%,1151578,5.52B
6,PSA,Public Storage,52.20B,0.31%,558890,4.74B
7,O,Realty Income Corporation,50.30B,0.63%,4006281,5.40B
8,CCI,Crown Castle Inc.,43.62B,0.24%,1853039,6.52B
9,CBRE,"CBRE Group, Inc.",35.57B,0.58%,2064633,36.74B
10,VICI,VICI Properties Inc.,33.25B,0.87%,5209593,3.88B
11,EXR,Extra Space Storage Inc.,32.29B,0.66%,829245,3.36B
12,CSGP,"CoStar Group, Inc.",31.22B,-0.20%,1895712,2.81B
13,VTR,"Ventas, Inc.",29.14B,0.74%,1797443,5.06B
14,IRM,Iron Mountain Incorporated,28.39B,0.43%,911079,6.27B
15,AVB,"AvalonBay Communities, Inc.",28.16B,-0.92%,882095,2.99B
16,EQR,Equity Residential,26.48B,-1.01%,1354795,3.01B
17,SBAC,SBA Communications Corporation,24.66B,0.55%,400795,2.69B
18,BEKE,KE Holdings Inc.,22.07B,0.60%,6085756,13.84B
19,INVH,Invitation Homes Inc.,20.30B,-0.27%,2679956,2.62B
20,MAA,"Mid-America Apartment Communities, Inc.",18.35B,-1.07%,659325,2.20B
21,WY,Weyerhaeuser Company,18.30B,-0.08%,3343061,7.09B
22,ESS,"Essex Property Trust, Inc.",17.97B,-1.57%,411901,1.86B
23,AMH,American Homes 4 Rent,15.87B,0.05%,1313965,1.76B
24,SUI,"Sun Communities, Inc.",15.65B,0.80%,613056,3.19B
25,UDR,"UDR, Inc.",13.97B,-1.57%,2890554,1.71B
26,KIM,Kimco Realty Corporation,13.88B,-0.63%,2903830,2.07B
27,WPC,W. P. Carey Inc.,13.44B,1.91%,1398548,1.60B
28,GLPI,"Gaming and Leisure Properties, Inc.",13.09B,0.43%,1183345,1.55B
29,REG,Regency Centers Corporation,12.93B,-0.10%,968762,1.52B
30,ELS,"Equity LifeStyle Properties, Inc.",12.72B,0.21%,809465,1.54B
31,CPT,Camden Property Trust,12.26B,-1.20%,1289488,1.56B
32,DOC,"Healthpeak Properties, Inc.",11.92B,0.12%,5875358,2.80B
33,ARE,"Alexandria Real Estate Equities, Inc.",11.73B,-1.14%,1310436,3.11B
34,LAMR,Lamar Advertising Company,11.67B,0.58%,496837,2.22B
35,LINE,"Lineage, Inc.",11.48B,-0.94%,688798,5.30B
36,BXP,"BXP, Inc.",11.42B,-0.03%,1369720,3.40B
37,NLY,"Annaly Capital Management, Inc.",11.37B,0.32%,6576152,956.14M
38,OHI,"Omega Healthcare Investors, Inc.",10.87B,0.56%,1814159,1.08B
39,HST,"Host Hotels & Resorts, Inc.",10.34B,-0.88%,6813917,5.82B
40,JLL,Jones Lang LaSalle Incorporated,10.24B,0.36%,313708,24.05B
41,CUBE,CubeSmart,9.47B,0.12%,1382734,1.08B
42,MRNO,Murano Global Investments Plc,9.08B,-,243,35.03M
43,AGNC,AGNC Investment Corp.,9.02B,0.34%,36903827,584.00M
44,EGP,"EastGroup Properties, Inc.",8.64B,-0.70%,301646,656.99M
45,REXR,"Rexford Industrial Realty, Inc.",8.40B,0.38%,3733653,974.60M
46,ADC,Agree Realty Corporation,8.27B,0.72%,1002703,636.80M
47,FRT,Federal Realty Investment Trust,8.04B,-1.17%,624064,1.22B
48,FSV,FirstService Corporation,7.85B,0.42%,65239,5.31B
49,VNO,Vornado Realty Trust,7.74B,-0.22%,874387,1.93B
50,NNN,"NNN REIT, Inc.",7.73B,0.29%,806080,884.71M
51,BRX,Brixmor Property Group Inc.,7.54B,-0.77%,2321520,1.30B
52,STWD,"Starwood Property Trust, Inc.",6.63B,0.36%,1946406,420.48M
53,FR,"First Industrial Realty Trust, Inc.",6.57B,-0.66%,897009,685.88M
54,STAG,"STAG Industrial, Inc.",6.41B,-0.58%,781335,785.42M
55,EPRT,"Essential Properties Realty Trust, Inc.",6.31B,0.54%,1107233,475.46M
56,RHP,"Ryman Hospitality Properties, Inc.",6.14B,-1.05%,542061,2.40B
57,CIGI,Colliers International Group Inc.,5.97B,-0.09%,100665,4.96B
58,RITM,Rithm Capital Corp.,5.90B,-0.36%,3199711,3.56B
59,TRNO,Terreno Realty Corporation,5.70B,-0.74%,703767,408.01M
60,AHR,"American Healthcare REIT, Inc.",5.54B,1.03%,1363516,2.10B
61,CTRE,"CareTrust REIT, Inc.",5.48B,0.99%,1059137,329.84M
62,HR,Healthcare Realty Trust Incorporated,5.11B,0.14%,1926932,1.24B
63,KRG,Kite Realty Group Trust,4.81B,-0.88%,1893829,856.17M
64,COLD,"Americold Realty Trust, Inc.",4.79B,-1.75%,3142353,2.63B
65,PECO,"Phillips Edison & Company, Inc.",4.70B,-0.59%,1698827,678.40M
66,MRP,"Millrose Properties, Inc.",4.65B,-,725140,82.70M
67,CUZ,Cousins Properties Incorporated,4.53B,1.05%,2904442,892.82M
68,NSA,National Storage Affiliates Trust,4.39B,1.04%,893065,742.36M
69,IRT,"Independence Realty Trust, Inc.",4.31B,-1.42%,2075523,641.33M
70,SLG,SL Green Realty Corp.,4.22B,0.45%,705726,648.55M
71,SBRA,"Sabra Health Care REIT, Inc.",4.15B,2.05%,2710335,720.25M
72,EPR,EPR Properties,4.01B,0.73%,435650,697.03M
73,HHH,Howard Hughes Holdings Inc.,3.93B,-0.63%,585661,1.79B
74,MAC,The Macerich Company,3.93B,-2.17%,1240151,1.01B
75,KRC,Kilroy Realty Corporation,3.73B,-0.76%,1290262,1.13B
76,RYN,Rayonier Inc.,3.69B,-0.13%,569421,1.23B
77,SKT,Tanger Inc.,3.39B,-1.54%,979537,549.23M
78,NHI,"National Health Investors, Inc.",3.38B,0.46%,252186,343.62M
79,BXMT,"Blackstone Mortgage Trust, Inc.",3.17B,0.27%,983321,123.14M
80,HIW,"Highwoods Properties, Inc.",3.16B,-0.93%,831804,819.79M
81,COMP,"Compass, Inc.",3.11B,1.88%,6040080,5.93B
82,CDP,COPT Defense Properties,3.10B,-0.11%,756776,748.56M
83,BNL,"Broadstone Net Lease, Inc.",3.05B,0.19%,2962579,435.12M
84,PCH,PotlatchDeltic Corporation,3.01B,-0.29%,540613,1.10B
85,DEI,"Douglas Emmett, Inc.",2.84B,-0.85%,1277840,995.66M
86,MPW,"Medical Properties Trust, Inc.",2.75B,0.44%,8778071,994.72M
87,APLE,"Apple Hospitality REIT, Inc.",2.73B,-0.95%,2427321,1.43B
88,FCPT,"Four Corners Property Trust, Inc.",2.72B,0.30%,526778,273.08M
89,OUT,OUTFRONT Media Inc.,2.62B,-0.19%,1273116,1.81B
90,NMRK,"Newmark Group, Inc.",2.60B,-,1066098,2.86B
91,AKR,Acadia Realty Trust,2.59B,0.05%,799488,387.33M
92,JOE,The St. Joe Company,2.52B,-0.07%,155520,409.15M
93,LXP,LXP Industrial Trust,2.43B,-1.20%,3291637,361.07M
94,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.40B,0.48%,189813,258.93M
95,CURB,Curbline Properties Corp.,2.35B,-,454496,131.54M
96,UE,Urban Edge Properties,2.34B,-0.28%,654429,453.51M
97,CWK,Cushman & Wakefield plc,2.23B,0.10%,1534089,9.55B
98,IVT,InvenTrust Properties Corp.,2.12B,-0.22%,433713,280.95M
99,PK,Park Hotels & Resorts Inc.,2.03B,-0.88%,3776743,2.60B
100,ESRT,"Empire State Realty Trust, Inc.",2.00B,0.14%,1196717,762.04M
101,ABR,"Arbor Realty Trust, Inc.",1.98B,6.28%,8696156,612.89M
102,ESBA,"Empire State Realty OP, L.P.",1.97B,-0.14%,17615,762.04M
103,SHO,"Sunstone Hotel Investors, Inc.",1.72B,0.23%,4149308,922.71M
104,GNL,"Global Net Lease, Inc.",1.72B,2.25%,1484761,789.55M
105,LTC,"LTC Properties, Inc.",1.62B,1.23%,334096,202.69M
106,CCS,"Century Communities, Inc.",1.62B,1.90%,724968,4.35B
107,GTY,Getty Realty Corp.,1.58B,0.71%,279796,206.75M
108,IIPR,"Innovative Industrial Properties, Inc.",1.56B,-0.02%,147305,304.79M
109,DRH,DiamondRock Hospitality Company,1.54B,-0.80%,1651559,1.13B
110,VRE,"Veris Residential, Inc.",1.49B,-1.29%,395008,279.63M
111,AAT,"American Assets Trust, Inc.",1.47B,-0.26%,309421,451.28M
112,JBGS,JBG SMITH Properties,1.43B,0.12%,1028959,520.83M
113,PGRE,"Paramount Group, Inc.",1.39B,1.57%,3305034,711.73M
114,UMH,"UMH Properties, Inc.",1.38B,0.55%,661938,243.78M
115,ELME,Elme Communities,1.38B,-0.70%,500651,243.92M
116,SILA,"Sila Realty Trust, Inc.",1.35B,0.16%,376326,184.47M
117,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.34B,0.31%,742300,276.84M
118,LADR,Ladder Capital Corp,1.32B,0.68%,961600,259.16M
119,ARR,"ARMOUR Residential REIT, Inc.",1.31B,0.19%,1735318,44.78M
120,NTST,NETSTREIT Corp.,1.29B,1.10%,446393,171.02M
121,DX,"Dynex Capital, Inc.",1.27B,-1.17%,2793278,108.02M
122,RDFN,Redfin Corporation,1.27B,1.23%,3381352,1.04B
123,ALEX,"Alexander & Baldwin, Inc.",1.26B,-0.46%,295707,236.06M
124,XHR,"Xenia Hotels & Resorts, Inc.",1.21B,-0.69%,626233,1.06B
125,EFC,Ellington Financial Inc.,1.21B,-0.47%,922183,308.37M
126,AIV,Apartment Investment and Management Company,1.20B,-0.51%,809199,210.83M
127,EXPI,"eXp World Holdings, Inc.",1.19B,-0.33%,864087,4.58B
128,IRS,IRSA Inversiones y Representaciones Sociedad Anónima,1.17B,0.85%,84556,308.54M
129,TWO,Two Harbors Investment Corp.,1.13B,-3.73%,4177593,370.70M
130,BFS,"Saul Centers, Inc.",1.12B,0.09%,46460,274.01M
131,MMI,"Marcus & Millichap, Inc.",1.10B,0.39%,127680,711.99M
132,ALX,"Alexander's, Inc.",1.09B,-0.96%,29664,219.89M
133,CSR,Centerspace,1.08B,-0.36%,82423,263.57M
134,RLJ,RLJ Lodging Trust,1.07B,-0.42%,2565850,1.37B
135,PMT,PennyMac Mortgage Investment Trust,1.06B,-0.73%,537083,591.25M
