,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,MSFT,Microsoft Corporation,"3,345.98B",-1.03%,16869356,270.01B
1,NVDA,NVIDIA Corporation,"3,201.84B",-1.16%,198708435,130.50B
2,AAPL,Apple Inc.,"2,916.52B",-3.02%,78725195,400.37B
3,AVGO,Broadcom Inc.,"1,075.43B",-0.79%,15388220,54.53B
4,TSM,Taiwan Semiconductor Manufacturing Company Limited,844.27B,-2.15%,9400382,94.40B
5,ORCL,Oracle Corporation,437.38B,-0.85%,6527158,55.78B
6,SAP,SAP SE,348.20B,-1.66%,1420115,37.99B
7,ASML,ASML Holding N.V.,292.68B,-1.11%,1502798,33.27B
8,PLTR,Palantir Technologies Inc.,291.00B,0.83%,65903414,3.12B
9,CRM,"Salesforce, Inc.",262.06B,-3.63%,8888543,37.90B
10,CSCO,"Cisco Systems, Inc.",249.92B,-0.39%,15644297,55.62B
11,IBM,International Business Machines Corporation,235.20B,0.10%,2722392,62.83B
12,NOW,"ServiceNow, Inc.",207.89B,-1.12%,1388271,11.47B
13,INTU,Intuit Inc.,200.88B,8.12%,5327476,18.18B
14,ACN,Accenture plc,193.81B,-2.17%,2947187,67.22B
15,UBER,"Uber Technologies, Inc.",183.50B,-0.28%,18025782,45.38B
16,AMD,"Advanced Micro Devices, Inc.",178.86B,-0.36%,30867093,27.75B
17,ADBE,Adobe Inc.,173.76B,-1.60%,2087509,22.04B
18,TXN,Texas Instruments Incorporated,160.16B,-2.17%,7416187,16.05B
19,QCOM,QUALCOMM Incorporated,158.29B,-1.35%,8997510,42.29B
20,SONY,Sony Group Corporation,157.68B,0.79%,6527142,86.53B
21,ARM,Arm Holdings plc,134.43B,-1.62%,2966614,4.01B
22,SHOP,Shopify Inc.,131.70B,-1.72%,6000059,9.38B
23,ADP,"Automatic Data Processing, Inc.",130.34B,-0.17%,958289,20.20B
24,AMAT,"Applied Materials, Inc.",126.40B,-1.88%,5686711,28.09B
25,PANW,"Palo Alto Networks, Inc.",124.52B,0.33%,4904215,8.87B
26,APP,AppLovin Corporation,119.89B,0.80%,5318933,5.14B
27,ANET,Arista Networks Inc,114.54B,-1.47%,7456570,7.44B
28,CRWD,"CrowdStrike Holdings, Inc.",113.48B,2.59%,4483522,3.95B
29,ADI,"Analog Devices, Inc.",104.45B,-0.69%,4850268,9.82B
30,MU,"Micron Technology, Inc.",104.35B,-1.54%,16542869,31.32B
31,LRCX,Lam Research Corporation,103.69B,-1.82%,8283977,17.14B
32,APH,Amphenol Corporation,103.48B,0.34%,4474220,16.78B
33,MSTR,MicroStrategy Incorporated,101.03B,-7.50%,21420456,459.28M
34,KLAC,KLA Corporation,100.13B,-1.35%,915652,11.55B
35,FI,"Fiserv, Inc.",88.34B,-1.24%,8355772,20.70B
36,INTC,Intel Corporation,87.46B,-2.43%,68216592,53.04B
37,CDNS,"Cadence Design Systems, Inc.",86.15B,-0.35%,1010035,4.87B
38,FTNT,"Fortinet, Inc.",78.96B,-0.44%,3769321,6.14B
39,SNPS,"Synopsys, Inc.",77.13B,-0.92%,667259,6.07B
40,INFY,Infosys Limited,76.97B,0.39%,10086506,19.28B
41,DELL,Dell Technologies Inc.,76.62B,0.14%,3922289,95.57B
42,MSI,"Motorola Solutions, Inc.",69.92B,-0.66%,563150,10.96B
43,SNOW,Snowflake Inc.,66.75B,-1.54%,11936451,3.84B
44,WDAY,"Workday, Inc.",63.55B,-12.52%,9914900,8.70B
45,ADSK,"Autodesk, Inc.",63.19B,0.12%,3197006,6.35B
46,ROP,"Roper Technologies, Inc.",60.96B,-0.36%,375126,7.24B
47,PAYX,"Paychex, Inc.",56.22B,-0.06%,1028282,5.44B
48,NET,"Cloudflare, Inc.",54.78B,-0.11%,1677643,1.77B
49,TEAM,Atlassian Corporation,54.29B,-0.74%,2037633,4.96B
50,MRVL,"Marvell Technology, Inc.",52.43B,-1.88%,17445005,5.77B
51,CRWV,"CoreWeave, Inc.",49.31B,2.58%,31099802,2.71B
52,NXPI,NXP Semiconductors N.V.,48.54B,-2.22%,3674309,12.32B
53,TEL,TE Connectivity plc,46.72B,-0.85%,1298853,16.03B
54,GLW,Corning Incorporated,41.42B,-0.39%,4889024,13.60B
55,FICO,Fair Isaac Corporation,41.24B,-0.35%,290252,1.84B
56,FIS,"Fidelity National Information Services, Inc.",41.10B,-0.15%,1696632,10.19B
57,DDOG,"Datadog, Inc.",39.53B,-1.05%,2887845,2.83B
58,ZS,"Zscaler, Inc.",39.32B,0.51%,2003618,2.42B
59,CTSH,Cognizant Technology Solutions Corporation,39.00B,-0.98%,2240054,20.09B
60,GRMN,Garmin Ltd.,38.62B,-0.49%,535739,6.45B
61,TTD,"The Trade Desk, Inc.",36.31B,-0.59%,4843119,2.57B
62,XYZ,"Block, Inc.",36.11B,0.67%,9697823,23.94B
63,IT,"Gartner, Inc.",33.74B,-1.19%,440447,6.33B
64,HUBS,"HubSpot, Inc.",32.43B,-2.05%,432307,2.72B
65,MPWR,"Monolithic Power Systems, Inc.",31.71B,-1.49%,508466,2.39B
66,WIT,Wipro Limited,30.78B,0.35%,4740265,10.43B
67,MCHP,Microchip Technology Incorporated,30.27B,-3.20%,10101958,4.40B
68,ANSS,"ANSYS, Inc.",30.08B,-0.43%,425595,2.58B
69,ERIC,Telefonaktiebolaget LM Ericsson (publ),29.18B,-1.25%,28472057,24.86B
70,NOK,Nokia Oyj,28.72B,-0.37%,12311862,20.72B
71,BR,"Broadridge Financial Solutions, Inc.",27.84B,-0.45%,389848,6.77B
72,KEYS,"Keysight Technologies, Inc.",27.54B,-1.06%,876495,5.11B
73,HPQ,HP Inc.,26.38B,-1.82%,7662051,53.88B
74,VRSN,"VeriSign, Inc.",26.27B,-0.75%,556369,1.58B
75,GDDY,GoDaddy Inc.,26.05B,-0.61%,880083,4.66B
76,IOT,Samsara Inc.,25.90B,-1.39%,1910055,1.25B
77,CHKP,Check Point Software Technologies Ltd.,24.69B,1.33%,835388,2.60B
