,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,NEE,"NextEra Energy, Inc.",139.49B,1.22%,17170120,25.27B
1,SO,The Southern Company,98.52B,0.90%,3129485,27.85B
2,CEG,Constellation Energy Corporation,93.24B,2.07%,5373972,24.20B
3,DUK,Duke Energy Corporation,90.54B,0.80%,2683684,30.51B
4,NGG,National Grid plc,72.17B,1.58%,947106,23.74B
5,AEP,"American Electric Power Company, Inc.",54.96B,1.06%,1888313,20.16B
6,VST,Vistra Corp.,53.67B,2.22%,7255713,18.10B
7,SRE,Sempra,50.67B,1.22%,3272563,13.35B
8,D,"Dominion Energy, Inc.",48.00B,1.13%,5958016,14.90B
9,EXC,Exelon Corporation,44.09B,0.58%,9679261,23.70B
10,XEL,Xcel Energy Inc.,40.22B,0.75%,3077393,13.70B
11,PEG,Public Service Enterprise Group Incorporated,39.40B,2.06%,2572132,10.75B
12,ED,"Consolidated Edison, Inc.",37.51B,0.66%,2116184,15.77B
13,PCG,PG&E Corporation,37.47B,0.18%,14755368,24.54B
14,ETR,Entergy Corporation,35.68B,1.89%,1945205,11.93B
15,WEC,"WEC Energy Group, Inc.",34.08B,1.22%,1838006,9.07B
16,NRG,"NRG Energy, Inc.",30.86B,1.63%,2290751,29.29B
17,DTE,DTE Energy Company,28.29B,1.26%,1069038,13.66B
18,AWK,"American Water Works Company, Inc.",28.01B,1.24%,740332,4.82B
19,AEE,Ameren Corporation,26.03B,0.94%,1451851,7.60B
20,PPL,PPL Corporation,25.63B,0.84%,5245620,8.66B
21,ATO,Atmos Energy Corporation,24.98B,1.28%,984684,4.49B
22,CNP,"CenterPoint Energy, Inc.",24.52B,1.16%,3034920,8.94B
23,FE,FirstEnergy Corp.,24.30B,0.29%,4250704,13.76B
24,FTS,Fortis Inc.,24.18B,1.38%,343692,8.16B
25,ES,Eversource Energy,23.31B,0.63%,1587247,12.69B
26,EIX,Edison International,21.79B,0.75%,1568224,17.33B
27,CMS,CMS Energy Corporation,20.83B,0.42%,1947981,7.79B
28,NI,NiSource Inc.,18.37B,1.35%,3073876,5.93B
29,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,16.74B,0.68%,1147038,7.30B
30,LNT,Alliant Energy Corporation,15.85B,0.83%,1161411,4.08B
31,BEP,Brookfield Renewable Partners L.P.,15.56B,3.02%,346702,5.96B
32,BIP,Brookfield Infrastructure Partners L.P.,15.23B,0.65%,475810,21.24B
33,EVRG,"Evergy, Inc.",15.14B,-0.18%,1538931,5.89B
34,KEP,Korea Electric Power Corporation,14.89B,5.45%,487633,63.22B
35,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,14.09B,0.73%,1052991,6.63B
36,TLN,Talen Energy Corporation,11.06B,1.86%,457560,2.09B
37,WTRG,"Essential Utilities, Inc.",10.89B,0.78%,1086282,2.26B
38,PNW,Pinnacle West Capital Corporation,10.84B,0.96%,545911,5.21B
39,BEPC,Brookfield Renewable Corporation,9.80B,3.44%,941595,3.92B
40,OGE,OGE Energy Corp.,8.91B,1.03%,673720,3.14B
41,UGI,UGI Corporation,7.74B,1.38%,1321980,7.32B
42,AES,The AES Corporation,7.11B,3.74%,22740424,12.12B
43,OKLO,Oklo Inc.,6.79B,23.04%,92502609,-
44,ELP,Companhia Paranaense de Energia - COPEL,6.27B,0.46%,461102,4.03B
45,ELPC,Companhia Paranaense de Energia - COPEL,6.27B,-0.28%,3585,4.03B
46,IDA,"IDACORP, Inc.",6.24B,0.38%,432599,1.81B
47,CIG,Companhia Energética de Minas Gerais - CEMIG,6.18B,2.75%,6318773,7.08B
48,CIG.C,Companhia Energética de Minas Gerais - CEMIG,6.18B,0.54%,2462,7.08B
49,TXNM,"TXNM Energy, Inc.",5.26B,0.60%,3248984,2.02B
50,SWX,"Southwest Gas Holdings, Inc.",5.09B,2.47%,324406,4.83B
51,ENIC,Enel Chile S.A.,5.08B,0.27%,2962461,4.10B
52,BIPC,Brookfield Infrastructure Corporation,4.70B,1.07%,736991,3.69B
53,POR,Portland General Electric Company,4.60B,0.62%,1190871,3.44B
54,NJR,New Jersey Resources Corporation,4.59B,0.59%,431934,2.07B
55,PAM,Pampa Energía S.A.,4.54B,1.07%,104788,1.97B
56,OGS,"ONE Gas, Inc.",4.46B,1.32%,755512,2.26B
57,SR,Spire Inc.,4.40B,1.57%,385455,2.43B
58,ORA,"Ormat Technologies, Inc.",4.34B,0.82%,306847,885.25M
59,AQN,Algonquin Power & Utilities Corp.,4.26B,1.28%,19705164,2.37B
60,BKH,Black Hills Corporation,4.21B,0.87%,343290,2.21B
61,ALE,"ALLETE, Inc.",3.77B,0.05%,293555,1.53B
62,CWEN,"Clearway Energy, Inc.",3.53B,3.99%,978029,1.41B
63,NWE,"NorthWestern Energy Group, Inc.",3.37B,0.57%,237401,1.51B
64,MGEE,"MGE Energy, Inc.",3.29B,0.51%,75800,687.58M
65,AVA,Avista Corporation,3.10B,0.81%,481142,1.95B
66,AWR,American States Water Company,3.02B,0.35%,166716,608.22M
67,CPK,Chesapeake Utilities Corporation,2.84B,0.69%,65587,840.20M
68,CWT,California Water Service Group,2.80B,0.28%,309464,970.03M
69,TAC,TransAlta Corporation,2.71B,2.23%,1426121,1.85B
70,RNW,ReNew Energy Global Plc,2.50B,1.47%,318969,1.01B
71,ENLT,Enlight Renewable Energy Ltd,2.14B,2.62%,36419,397.30M
72,CEPU,Central Puerto S.A.,2.09B,-0.51%,635738,697.20M
73,HE,"Hawaiian Electric Industries, Inc.",1.83B,0.57%,1047910,3.17B
74,HTO,H2O America,1.79B,0.02%,205653,766.66M
75,KEN,Kenon Holdings Ltd.,1.79B,0.39%,8941,751.30M
76,CTRI,"Centuri Holdings, Inc.",1.65B,0.27%,511950,2.66B
77,NWN,Northwest Natural Holding Company,1.64B,0.77%,168168,1.21B
78,EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,1.62B,1.36%,49592,2.10B
79,ARIS,"Aris Water Solutions, Inc.",1.38B,-0.21%,624312,452.53M
80,SPH,"Suburban Propane Partners, L.P.",1.24B,1.59%,121529,1.42B
81,MSEX,Middlesex Water Company,1.03B,0.05%,132344,195.65M
82,FLNC,"Fluence Energy, Inc.",889.22M,-1.01%,3315491,2.33B
83,UTL,Unitil Corporation,876.41M,1.30%,60665,486.90M
84,XIFR,"XPLR Infrastructure, LP",816.53M,1.88%,1273248,1.26B
85,GNE,Genie Energy Ltd.,527.79M,2.24%,166668,442.32M
86,OPAL,OPAL Fuels Inc.,470.70M,8.60%,710226,320.43M
87,YORW,The York Water Company,469.88M,0.15%,44402,75.79M
88,CWCO,Consolidated Water Co. Ltd.,426.41M,1.25%,92263,127.99M
89,ARTNA,Artesian Resources Corporation,350.47M,0.27%,22062,109.29M
90,NXXT,NextNRG Inc.,339.36M,-7.90%,59262,37.45M
91,GWRS,"Global Water Resources, Inc.",284.12M,1.27%,45505,53.54M
92,PCYO,Pure Cycle Corporation,249.43M,-2.99%,27147,29.91M
93,CDZI,Cadiz Inc.,222.70M,-0.55%,214886,11.44M
94,RGCO,"RGC Resources, Inc.",215.00M,-0.81%,8856,91.31M
95,ELLO,Ellomay Capital Ltd.,187.78M,-0.61%,1560,41.90M
96,VGAS,"Verde Clean Fuels, Inc.",153.25M,1.78%,2097,-
97,NRGV,"Energy Vault Holdings, Inc.",143.56M,-5.81%,670570,46.97M
98,STEM,"Stem, Inc.",76.59M,1.19%,1683525,151.63M
99,SUUN,SolarBank Corporation,62.31M,-,45122,25.80M
100,DGXX,Digi Power X Inc.,59.11M,12.06%,3170335,33.32M
101,WAVE,Eco Wave Power Global AB (publ),35.05M,-3.97%,10097,168.00K
102,CREG,Smart Powerr Corp.,17.82M,5.98%,56042,20.63K
103,HTOO,Fusion Fuel Green PLC,7.52M,-3.13%,140445,1.66M
104,BNRG,Brenmiller Energy Ltd,3.61M,-7.61%,18945615,-
